playlist_id,playlist_name,song_id,song_name,artist_id,artist_name,album_id,album_name,song_duration
2007980572,Taylor Swift | 霉霉免费套餐,1919029404,The Joker And The Queen (feat. Taylor Swift),33184,Ed Sheeran/Taylor Swift,140160600,The Joker And The Queen (feat. Taylor Swift),3:05
2452301661,Westlife-全专辑-按发行顺序,1403713759,Hello My Love,45839,Westlife,83392596,Spectrum,3:36
2452301661,Westlife-全专辑-按发行顺序,1403713760,Better Man,45839,Westlife,83392596,Spectrum,3:17
7012631,G-Dragon,26155091,미치GO - (疯狂GO),123577,G-Dragon,2400506,미치GO,3:30
7012631,G-Dragon,28606338,Gmarket Song,123577,G-Dragon,2857067,Gmarket Song,2:46
7012631,G-Dragon,28029458,BLACK  -JPN-,123577,G-Dragon/朴春,2716078,COUP D'ETAT [+ ONE OF A KIND &amp; HEARTBREAKER],3:25
7012631,G-Dragon,28029459,WHO YOU? -JPN-,123577,G-Dragon,2716078,COUP D'ETAT [+ ONE OF A KIND &amp; HEARTBREAKER],3:23
2452301661,Westlife-全专辑-按发行顺序,1399054436,My Blood,45839,Westlife,83392596,Spectrum,3:17
7012631,G-Dragon,28075500,ピタカゲ (CROOKED) -JPN- - (狂放 (CROOKED) -JPN-),123577,G-Dragon,2716078,COUP D'ETAT [+ ONE OF A KIND &amp; HEARTBREAKER],3:46
7012631,G-Dragon,28029468,あんなヤツ - (THAT XX (Japanese ver.)),123577,G-Dragon,2716078,COUP D'ETAT [+ ONE OF A KIND &amp; HEARTBREAKER],3:21
2452301661,Westlife-全专辑-按发行顺序,1376076133,Dynamite,45839,Westlife,83392596,Spectrum,3:32
2452301661,Westlife-全专辑-按发行顺序,1403713762,Dance,45839,Westlife,83392596,Spectrum,2:45
2452301661,Westlife-全专辑-按发行顺序,1403714051,One Last Time,45839,Westlife,83392596,Spectrum,2:55
2452301661,Westlife-全专辑-按发行顺序,1403714052,Take Me There,45839,Westlife,83392596,Spectrum,3:25
7012631,G-Dragon,27676677,쿠데타 (Coup D'etat) - (流行革命),123577,G-Dragon/Diplo/Baauer,2658065,쿠데타 (COUP D`ETAT),3:00
7012631,G-Dragon,27676678,늴리리야 (Niliria) (Missy Elliott Ver.),123577,G-Dragon/Missy Elliott,2658065,쿠데타 (COUP D`ETAT),2:54
2452301661,Westlife-全专辑-按发行顺序,1403714053,Repair,45839,Westlife,83392596,Spectrum,3:07
2452301661,Westlife-全专辑-按发行顺序,1403437165,Without You,45839,Westlife,83392596,Spectrum,3:39
2452301661,Westlife-全专辑-按发行顺序,1403713764,L.O.V.E.,45839,Westlife,83392596,Spectrum,2:53
7012631,G-Dragon,27676679,R.O.D.,123577,G-Dragon/Lydia Paek,2658065,쿠데타 (COUP D`ETAT),3:58
7012631,G-Dragon,27676680,Black,123577,G-Dragon/JENNIE,2658065,쿠데타 (COUP D`ETAT),3:25
532882364,我是歌手4李克勤,400162541,雾之恋 - (原唱: 谭咏麟),3699,李克勤,34429065,我是歌手第四季 第1期,4:53
532882364,我是歌手4李克勤,400876304,当我知道你们相爱 - (原唱: 郭富城),3699,李克勤,34436149,我是歌手第四季 第2期,4:18
532882364,我是歌手4李克勤,401722037,遥远的她 (Live) - (原唱 : 谷村新司(日文) / 张学友(中文)),3699,李克勤,34469022,我是歌手第四季 第3期,4:57
532882364,我是歌手4李克勤,402070837,一起走过的日子 (Live) - (原唱 : 刘德华),3699,李克勤,34477266,我是歌手第四季 第4期,4:32
532882364,我是歌手4李克勤,402073899,单车 (Live) - (原唱 : 陈奕迅),3699,李克勤,34478239,我是歌手第四季 第5期,3:56
532882364,我是歌手4李克勤,403710394,友情岁月 - (原唱 : 郑伊健),3699,李克勤,34497112,我是歌手第四季 第6期,4:04
